SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
DSLW,07-Jan-2015,795.96,803.95,795.96,803.77,0
DSMC,07-Jan-2015,827.98,843.17,827.98,842.53,22790100
DSME,07-Jan-2015,722.7,724.58,717.37,721.5,41480500
DSMF,07-Jan-2015,5.73,5.76,5.53,5.66,6547500
DSMG,07-Jan-2015,70.96,71.75,70.32,71.08,6529200
DSMR,07-Jan-2015,60.9,61.02,60.69,60.95,6913100
DSMS,07-Jan-2015,614.6,630.53,614.6,630.53,1939900
DSMT,07-Jan-2015,255.35,263.21,255.35,261.98,125800
DSMU,07-Jan-2015,176.38,178.5,175.75,177.87,3414100
DSNC,07-Jan-2015,513.32,522.39,513.32,521.65,70971900
DSNF,07-Jan-2015,299.39,304.17,297.66,303.78,2693600
DSNG,07-Jan-2015,622.13,630.89,622.13,629.96,33992500
DSNS,07-Jan-2015,813.95,816.55,805.22,807.08,21335000
DSOE,07-Jan-2015,187.59,187.59,185.42,185.88,519300
DSOG,07-Jan-2015,641,652.46,638.42,642.47,50182200
DSOI,07-Jan-2015,527.5,533.7,521.91,528.29,26561600
DSOL,07-Jan-2015,595.63,605.82,594.9,598.92,8103400
DSOQ,07-Jan-2015,628.38,636.6,624.85,630.02,32407100
DSOS,07-Jan-2015,727.75,741.49,721.9,726.39,42078800
DSPB,07-Jan-2015,278.71,279.9,277.31,279.84,1850300
DSPC,07-Jan-2015,181.66,182.71,181.06,181.82,1573300
DSPG,07-Jan-2015,511.96,520.4,511.96,519.65,11614800
DSPL,07-Jan-2015,927.08,942.35,927.08,931.58,5845500
DSPM,07-Jan-2015,49.54,50.2,48.46,49.27,2029200
DSPN,07-Jan-2015,683.46,700.05,683.46,699.94,41555400
DSPP,07-Jan-2015,167.75,168.26,166.82,167.75,1027300
DSPR,07-Jan-2015,486.14,495.75,486.14,495.57,21783100
DSPT,07-Jan-2015,59.43,60.13,58.09,58.74,281500
DSRA,07-Jan-2015,830.51,854.28,830.51,854.19,9365000
DSRB,07-Jan-2015,661.93,676.97,661.8,676.65,13721300
DSRD,07-Jan-2015,1251.84,1281.5,1251.84,1281.01,8421400
DSRE,07-Jan-2015,307.88,312.26,307.33,312.06,42102700
DSRH,07-Jan-2015,363.69,367.28,362.97,367.17,1169600
DSRI,07-Jan-2015,127.53,129.38,127.28,129.28,40933000
DSRL,07-Jan-2015,129.96,132.69,129.54,132.6,8115500
DSRN,07-Jan-2015,168.31,170.84,168.04,170.62,3432400
DSRP,07-Jan-2015,297.11,305.67,297.11,305.54,544900
DSRQ,07-Jan-2015,113.24,114.39,113.04,113.94,3249500
DSRR,07-Jan-2015,1424.82,1445.87,1419.91,1432.71,3517200
DSRS,07-Jan-2015,893.76,906.77,893.76,906.75,13366200
DSRT,07-Jan-2015,740.35,756.77,740.35,756.72,59301600
DSRU,07-Jan-2015,974.39,998.02,974.09,997.84,7833600
DSSB,07-Jan-2015,773.84,785.06,773.84,784.89,7246300
DSSC,07-Jan-2015,1864.72,1890.04,1857.58,1883.72,51595000
DSSD,07-Jan-2015,535.61,548.05,535.61,546.5,6705700
DSSF,07-Jan-2015,179.25,181.63,179.25,181.62,8068700
DSSP,07-Jan-2015,118.63,120.41,118.63,120.39,1088300
DSSR,07-Jan-2015,170.26,172.82,170.1,172.54,9550600
DSST,07-Jan-2015,196.29,199.58,196.29,197.76,5107700
DSSV,07-Jan-2015,1206.49,1211.41,1199.42,1205.78,51653800
DSSW,07-Jan-2015,1094.72,1104.01,1091.04,1099.84,26269500
DSTB,07-Jan-2015,618.02,626.8,618.02,625.77,4157300
DSTC,07-Jan-2015,1042.74,1051.9,1041.5,1048.03,144408400
DSTK,07-Jan-2015,534.8,538.95,530.83,533.77,1669600
DSTL,07-Jan-2015,160.64,160.72,157.57,158.74,20050500
DSTP,07-Jan-2015,486.32,491.99,486.32,491.24,0
DSTQ,07-Jan-2015,965.79,978.53,965.79,975.84,92754500
DSTR,07-Jan-2015,98.28,100.36,98.28,99.65,1143300
DSTS,07-Jan-2015,239.7,241.9,238.52,239.87,302600
DSTT,07-Jan-2015,510.41,511.7,501.13,505.39,3189300
DSTY,07-Jan-2015,467.98,472.17,464.55,469.14,7075700
DSUO,07-Jan-2015,229.97,232.69,229.42,232.09,5555000
DSUT,07-Jan-2015,232.78,235.7,232.24,234.96,22301200
DSVE,07-Jan-2015,224.09,227.01,223.57,226.2,16746100
DSVN,07-Jan-2015,243.05,249.53,243.05,248.37,516100
DSWC,07-Jan-2015,222.01,225.56,221.4,225.52,4195300
DSWU,07-Jan-2015,1284.83,1304.87,1284.83,1299.69,232200
DTCI,07-Jan-2015,1260.03,1275.79,1255.92,1275.12,0
DTEI,07-Jan-2015,1509.3,1529.7,1504.37,1528.85,0
DTFI,07-Jan-2015,35,35,30,35,0
DTFX,07-Jan-2015,128.24,128.33,127.52,127.92,0
DTOF,07-Jan-2015,55,65,50,65,0
DTOH,07-Jan-2015,65,70,65,65,0
DTTH,07-Jan-2015,80,80,80,80,0
DTTW,07-Jan-2015,15,15,10,15,0
DTWC,07-Jan-2015,12774.69,12926.87,12774.69,12907.43,0
DTWI,07-Jan-2015,34771.26,35222.29,34771.26,35197.16,0
DTWT,07-Jan-2015,13045.52,13165.78,13045.52,13137.51,0
DTWU,07-Jan-2015,2291.23,2324.15,2287.99,2314.38,0
DUBS,07-Jan-2015,104.05,104.4,103.19,103.52,0
DUFI,07-Jan-2015,73.33,86.66,66.66,80,0
DUOF,07-Jan-2015,86.66,86.66,86.66,86.66,0
DUOH,07-Jan-2015,86.66,86.66,86.66,86.66,0
DUSL,07-Jan-2015,422.16,427.25,422.16,426.44,0
DUSM,07-Jan-2015,777.73,785.98,777.73,785.64,0
DUSS,07-Jan-2015,841.05,848.14,841.05,848.06,0
DUTH,07-Jan-2015,86.66,86.66,86.66,86.66,0
DUTW,07-Jan-2015,66.66,73.33,60,73.33,0
DVAA,07-Jan-2015,22.7,22.7,22.7,22.7,0
DVAB,07-Jan-2015,43.28,43.28,43.28,43.28,0
DVCA,07-Jan-2015,1.6,36.81,1.6,36.81,0
DVCD,07-Jan-2015,0.49,29.71,0.49,25.8,0
DVCE,07-Jan-2015,13.76,374.92,13.76,374.92,0
DVCN,07-Jan-2015,23.4,1029.18,23.4,1006.05,0
DVCQ,07-Jan-2015,23.04,509.06,23.04,482.71,0
DVCS,07-Jan-2015,4.55,213.76,4.55,213.71,0
DVCT,07-Jan-2015,48.06,1556.77,48.06,1525.58,0
DVCV,07-Jan-2015,1.36,32.56,1.36,32.45,0
DVCX,07-Jan-2015,5.92,246.33,5.92,246.17,0
DVDE,07-Jan-2015,111.85,111.85,111.85,111.85,0
DVJN,07-Jan-2015,107.02,107.02,107.02,107.02,0
DVMR,07-Jan-2015,105.89,105.89,105.89,105.89,0
DVS,07-Jan-2015,15,21.3,15,21.3,0
DVST,07-Jan-2015,107.99,107.99,107.99,107.99,0
DWC,07-Jan-2015,21111.34,21323.881,21111.34,21301.67,0
DWCB,07-Jan-2015,3705.44,3742.67,3696.23,3722.08,0
DWE,07-Jan-2015,5031.9,5088.46,4929.2,4966.5,0
DWJ,07-Jan-2015,2878.45,2896.93,2860.46,2892.38,0
DWO,07-Jan-2015,2262.58,2282.68,2216.03,2238.69,0
DWR,07-Jan-2015,5033.87,5116.67,5033.01,5116.67,0
DWU,07-Jan-2015,2763.11,2787.18,2756.03,2786.68,0
DWY,07-Jan-2015,2727.51,2740.59,2708.77,2738.52,0
DXG,07-Jan-2015,3959.26,3959.26,3959.26,3959.26,0
DXS,07-Jan-2015,3895.73,3928.66,3895.73,3921.52,0
DXY,07-Jan-2015,91.76,92.26,91.65,91.99,0
DYH,07-Jan-2015,3380.16,3400.18,3375.16,3399.99,0
DYI,07-Jan-2015,2900.12,2918.91,2894.23,2913.43,0
DYO,07-Jan-2015,3183.2,3212.72,3181.37,3208.81,0
DZC,07-Jan-2015,4729.04,4777.14,4725.98,4772.39,0
DZE,07-Jan-2015,2341.46,2376.37,2341.39,2372.08,0
DZF,07-Jan-2015,3219.74,3264.74,3219.74,3263.68,0
DZH,07-Jan-2015,2702.38,2709.63,2686.23,2706.53,0
DZL,07-Jan-2015,4654.44,4751.94,4654.44,4751.53,0
DZM,07-Jan-2015,2560.13,2572.49,2551.68,2572.43,0
DZN,07-Jan-2015,3340.5,3371.63,3340.5,3364.81,0
DZO,07-Jan-2015,5583.08,5784.16,5583.08,5783.28,0
DZR,07-Jan-2015,5969.32,6085.41,5969.32,6084.68,0
ECO,07-Jan-2015,52.73,52.86,51.99,52.33,0
EED,07-Jan-2015,28.18,28.71,28.17,28.55,0
EMX,07-Jan-2015,146.19,146.5,145.23,145.53,0
EPX,07-Jan-2015,319.6,324.99,313.41,315.17,0
ESX,07-Jan-2015,137.68,138.09,136.45,136.77,0
EUX,07-Jan-2015,148,148.22,147.33,147.52,0
EVZ,07-Jan-2015,10.51,10.72,10.38,10.44,0
EZB,07-Jan-2015,4480.25,4495.94,4458.56,4490.28,0
EZF,07-Jan-2015,2224.09,2236.03,2211.2,2233.96,0
EZK,07-Jan-2015,4426.1,4466.19,4360.95,4392.75,0
EZL,07-Jan-2015,5049.61,5070.46,5018.38,5056.6,0
EZS,07-Jan-2015,3275.87,3312.15,3275.87,3310.38,0
EZV,07-Jan-2015,2793.74,2819.36,2790.56,2814.13,0
EZX,07-Jan-2015,5396.46,5479.1,5396.46,5478.38,0
EZZ,07-Jan-2015,3798.1,3858.25,3798.1,3858.21,0
FBV,07-Jan-2015,25.34,25.44,25.32,25.41,0
FTSA,07-Jan-2015,3492.47,3540.2,3492.47,3519.62,0
FTSE,07-Jan-2015,6366.51,6459.74,6366.51,6419.83,0
FTSM,07-Jan-2015,15778.65,15924.21,15778.65,15851.69,0
FVX,07-Jan-2015,1.5,1.52,1.46,1.47,0
GDM,07-Jan-2015,557.05,573.34,551.71,559.74,0
GLD,07-Jan-2015,1218.3,1218.48,1208.97,1211,220267
GLI,07-Jan-2015,101.04,101.46,100.92,101.32,0
GMI,07-Jan-2015,20.43,20.64,19.85,20.13,0
GNX,07-Jan-2015,397.95,400.65,392.25,396.67,0
GVX,07-Jan-2015,20.14,20.23,17.19,19.93,0
GVZ,07-Jan-2015,20.75,20.76,20.25,20.35,0
GWI,07-Jan-2015,177.45,178.55,177.1,178.29,0
HGX,07-Jan-2015,212.42,217.46,211.93,216.06,0
HIGA,07-Jan-2015,3,3,3,3,0
HIGD,07-Jan-2015,10,10,10,10,0
HIGN,07-Jan-2015,96,96,96,96,0
HIGQ,07-Jan-2015,54,54,54,54,0
HIGS,07-Jan-2015,223,223,223,223,0
HIGV,07-Jan-2015,29,29,29,29,0
HKO,07-Jan-2015,449.05,449.05,449.05,449.05,0
HKX,07-Jan-2015,1126.81,1126.84,1126.81,1126.84,0
HMV,07-Jan-2015,3507.46,3507.46,3507.46,3507.46,0
HSI,07-Jan-2015,23396.7,23715.71,23332.03,23681.26,0
HUI,07-Jan-2015,180.13,186.45,178.11,181.15,0
HUV,07-Jan-2015,166.3,166.3,166.3,166.3,0
HVX,07-Jan-2015,63.92,64.33,63.85,64.05,0
HWI,07-Jan-2015,661.42,665.58,656.37,664.58,0
HWO,07-Jan-2015,690.68,690.68,690.68,690.68,0
ICK,07-Jan-2015,69.01,70.45,69.01,70.26,0
IDX,07-Jan-2015,1416.78,1430.79,1416.78,1430.65,116956300
IEB,07-Jan-2015,2935.4,2960.58,2934.28,2955.6,0
IEK,07-Jan-2015,3392.91,3412.16,3385.4,3405.09,0
IEY,07-Jan-2015,3622.03,3651.56,3616.3,3651.36,0
IIB,07-Jan-2015,7.83,7.91,7.8,7.87,0
ILH,07-Jan-2015,2616.6,2644.76,2616.36,2643.39,0
ILJ,07-Jan-2015,3875.3,3904.19,3871.37,3898.75,0
ILK,07-Jan-2015,3534.53,3577.12,3534.53,3576.95,0
ILP,07-Jan-2015,3099.74,3118.98,3093.63,3113.06,0
ILR,07-Jan-2015,3799.92,3831.86,3797.7,3831.79,0
ILU,07-Jan-2015,3697.73,3722.03,3687.57,3721.06,0
ILW,07-Jan-2015,2993.07,3007.13,2981.45,3001.88,0
