"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PVTB","PrivateBancorp, Inc.","33.05","$2.58B","1999","Finance","Major Banks","http://www.nasdaq.com/symbol/pvtb",
"PVTBP","PrivateBancorp, Inc.","27.164","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pvtbp",
"PKT","Procera Networks, Inc.","8.37","$173.59M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/pkt",
"PDEX","Pro-Dex, Inc.","2.45","$10.22M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/pdex",
"IPDN","Professional Diversity Network, Inc.","4.81","$60.7M","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/ipdn",
"PFIE","Profire Energy, Inc.","2.26","$119.34M","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/pfie",
"PGNX","Progenics Pharmaceuticals Inc.","7.18","$499.41M","1997","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pgnx",
"PRGS","Progress Software Corporation","26.37","$1.32B","1991","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/prgs",
"PFPT","Proofpoint, Inc.","49.71","$1.9B","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/pfpt",
"PRPH","ProPhase Labs, Inc.","1.627","$25.16M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/prph",
"PRQR","ProQR Therapeutics N.V.","19.58","$456.96M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/prqr",
"RNA","Prosensa Holding N.V.","18.79","$679.1M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rna",
"BIB","ProShares Ultra Nasdaq Biotechnology","134.38","$443.45M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bib",
"TQQQ","ProShares UltraPro QQQ Fund","97.3","$895.16M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tqqq",
"SQQQ","ProShares UltraPro Short QQQ Fund","29.62","$266.58M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sqqq",
"BIS","ProShares UltraShort Nasdaq Biotechnology","42.65","$51.18M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bis",
"PSEC","Prospect Capital Corporation","8.57","$3.02B","2004","n/a","n/a","http://www.nasdaq.com/symbol/psec",
"PRTO","Proteon Therapeutics, Inc.","10.62","$174.69M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/prto",
"PRTA","Prothena Corporation plc","21.48","$588.21M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/prta",
"PWX","Providence and Worcester Railroad Company","18.1","$87.93M","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/pwx",
"PROV","Provident Financial Holdings, Inc.","15.4","$140.94M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/prov",
"PBIP","Prudential Bancorp, Inc.","12.25","$114.99M","n/a","Finance","Banks","http://www.nasdaq.com/symbol/pbip",
"PSBH","PSB Holdings, Inc.","7.58","$49.59M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/psbh",
"PSDV","pSivida Corp.","4.08","$119.74M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/psdv",
"PMD","Psychemedics Corporation","15.234","$81.88M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/pmd",
"PTC","PTC Inc.","35.75","$4.15B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ptc",
"PTCT","PTC Therapeutics, Inc.","54.18","$1.82B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ptct",
"PULB","Pulaski Financial Corp.","12.16","$146.81M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/pulb",
"PCYO","Pure Cycle Corporation","4","$96.15M","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/pcyo",
