Symbol,Date,Open,High,Low,Close,Volume
SG1I,06-Jan-2015,85.8,86.12,85.18,85.8,0
SG1J,06-Jan-2015,367.23,369.74,349.32,352.55,0
SG2A,06-Jan-2015,461.02,464.68,438.72,443.66,0
SG2B,06-Jan-2015,435.79,439.25,414.72,419.38,0
SG2C,06-Jan-2015,604.99,609.8,575.84,582.21,0
SG2D,06-Jan-2015,115.63,115.63,113.59,113.98,0
SG2E,06-Jan-2015,11.15,11.15,10.95,10.99,0
SG2F,06-Jan-2015,37.99,37.99,37.32,37.45,0
SG2G,06-Jan-2015,129.45,135.04,129.45,134.69,0
SG2H,06-Jan-2015,18.82,19.64,18.82,19.59,0
SG2I,06-Jan-2015,90.35,94.27,90.35,94.01,0
SG2J,06-Jan-2015,99.21,99.57,98.48,99.21,0
SG3A,06-Jan-2015,550.16,552.81,547.49,550.47,0
SG3B,06-Jan-2015,3748.55,3766.62,3730.34,3750.68,0
SG3C,06-Jan-2015,335.19,338.08,332.09,334.36,0
SG3D,06-Jan-2015,11.18,11.27,11.07,11.15,0
SG3E,06-Jan-2015,115.52,116.52,114.45,115.24,0
SG3F,06-Jan-2015,86.38,87.15,85.51,85.65,0
SG3G,06-Jan-2015,37.3,37.64,36.93,36.99,0
SG3H,06-Jan-2015,254.14,256.36,251.59,252,0
SG3I,06-Jan-2015,274.25,275.84,260.71,262.68,0
SG3J,06-Jan-2015,437.58,439.69,435.45,437.83,0
SG4A,06-Jan-2015,744.35,744.5,703.52,709,0
SG4B,06-Jan-2015,280.36,282.15,271.92,273.61,0
SG4C,06-Jan-2015,115.47,116.21,111.99,112.69,0
SG4D,06-Jan-2015,197.7,198.66,191.45,192.65,0
SG4E,06-Jan-2015,160.02,161.22,154.13,155.29,0
SG4F,06-Jan-2015,595.91,599.26,572.87,577.19,0
SG4G,06-Jan-2015,263.88,265.15,258.56,260.92,0
SG4H,06-Jan-2015,152.29,152.8,149,150.37,0
SG4I,06-Jan-2015,183.43,184.02,179.45,181.09,0
